season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG+POST,00-0038558,D.Washington,Darnell Washington,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i6bxioxqzrc9hepszyjf",14,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,20,28,209,1,0,0,123,131,9,8.78276335675037,0,1.69918699186992,0.0738786279683377,0.0467325227963526,0.143530707909953,0,26.9,46.9
2024,REG+POST,00-0038559,M.Wilson,Michael Wilson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/spsbduvpqe21tgkwhvbc",16,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,7,0,0,0,0,-0.814475663122721,0,47,71,548,4,1,1,805,130,27,10.1235617534646,0,0.680745341614907,0.144602851323829,0.235793790275337,0.381959930178479,0,77.5,124.5
2024,REG+POST,00-0038563,T.Tucker,Tre Tucker,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/soebzcfwhgnjffwqv1ox",17,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,9,44,1,0,0,3,2.73912213757285,0,47,81,539,3,0,0,1017,208,24,12.2734947501078,0,0.529990167158309,0.136824324324324,0.247867414087253,0.378743676347564,0,82.3,129.3
2024,REG+POST,00-0038573,D.Davis,Derius Davis,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ctk98ws4ps6p4gaei6uu",12,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,13,36,0,0,0,2,-5.24063580558868,0,14,18,116,2,1,0,58,130,5,5.00866930681514,0,2,0.0584415584415584,0.0200276243093923,0.101681674678912,0,27.2,41.2
2024,REG+POST,00-0038576,C.Jones,Charlie Jones,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tbncr0bm5daiafdei8i8",2,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,5,0,0,0,5,0,0,0.163901908614207,0,1,0.0344827586206897,0.0308641975308642,0.0733290762026394,1,6.5,7.5
2024,REG+POST,00-0038579,A.O'Connell,Aidan O'Connell,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aphs7sdbtn8v4zo9pz6w",9,LV,154,243,1612,8,4,10,82,0,0,1921,731,78,4.30266368198077,0,0.839146277980219,0.0232293744989578,21,30,1,2,2,10,-8.12173436273588,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,93.48,93.48
2024,REG+POST,00-0038582,C.Tune,Clayton Tune,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bbiianhnrupao5vm4onx",5,ARI,2,2,8,0,0,0,0,0,0,4,4,0,-1.12801867816597,0,2,,7,-4,0,1,1,2,-10.5396242414718,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-2.08,-2.08
2024,REG+POST,00-0038583,D.Thompson-Robinson,Dorian Thompson-Robinson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ujuyt3hpswlin3aahmhu",6,CLE,61,118,440,0,6,8,47,2,1,710,251,20,-71.1411469733575,0,0.619718309859155,-0.0300497703945884,21,122,0,1,0,9,5.99139755265787,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,15.8,15.8
2024,REG+POST,00-0038589,J.Whyle,Josh Whyle,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ccstvnbjzprcpb2j9xnb",14,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,28,37,248,1,0,0,209,143,14,7.96463469296365,1,1.1866028708134,0.0876777251184834,0.0582659604126011,0.172302759966546,0,32.8,60.8
2024,REG+POST,00-0038597,C.Brown,Chase Brown,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rxzzjpgjgjsmmkekp6zu",16,CIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,229,990,7,2,1,49,-5.85863272827405,1,54,65,360,4,0,0,53,326,23,9.81889529448408,0,6.79245283018868,0.118613138686131,0.0134688691232529,0.187347916415474,0,201,255
2024,REG+POST,00-0038606,P.Washington,Parker Washington,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pukz1x5ysxkhvsmcttdm",13,JAX,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,32,51,390,3,1,0,601,108,19,13.3345623737517,1,0.64891846921797,0.134210526315789,0.183679706601467,0.329891584094711,1,65,97
2024,REG+POST,00-0038608,K.Boutte,Kayshon Boutte,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nz6t7jhx6erszovbv1bd",15,NE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,43,68,589,3,0,0,1011,150,24,19.6835254341252,1,0.582591493570722,0.150110375275938,0.295614035087719,0.432095387475311,0,78.9,121.9
2024,REG+POST,00-0038611,C.Rodriguez,Chris Rodriguez,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z5nbh1nza9je683o17h1",6,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,35,173,2,0,0,10,7.94025240946212,0,1,1,12,0,0,0,1,11,1,1.13839163765078,0,12,0.0285714285714286,0.00413223140495868,0.0457497048406139,0,30.5,31.5
2024,REG+POST,00-0038614,S.Matlock,Scott Matlock,FB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qin48hcmcufdvuvyefxz",5,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,5,28,0,0,0,7,23,1,1.07180205383338,0,4,0.0367647058823529,0.00756756756756757,0.0604443561208267,0,2.8,6.8
